formula_id,name,description,latex,formula_type,domain,model_origin,use_in_nature,ai_application
43,Ordered Bi-Bi Mechanism,Two-substrate ordered sequential mechanism,v = \frac{V_{max} [A][B]}{K_{iA}K_B + K_B[A] + K_A[B] + [A][B]},rate_equation,enzyme-kinetics,ordered-bi-bi,,
44,Ping-Pong Bi-Bi Mechanism,Two-substrate ping-pong mechanism,v = \frac{V_{max} [A][B]}{K_A[B] + K_B[A] + [A][B]},rate_equation,enzyme-kinetics,ping-pong,,
45,Mass Action (Irreversible),Irreversible mass action kinetics,v = k [A]^a [B]^b,rate_equation,reaction-kinetics,mass-action,,
46,Mass Action (Reversible),Reversible mass action kinetics,v = k_f [A][B] - k_r [C][D],rate_equation,reaction-kinetics,mass-action,,
47,Arrhenius Equation,Temperature dependence of rate constants,k = A \exp\left(-\frac{E_a}{RT}\right),algebraic,reaction-kinetics,arrhenius,,
48,Q10 Temperature Coefficient,Temperature dependence using Q10 factor,k(T) = k(T_0) Q_{10}^{(T-T_0)/10},algebraic,reaction-kinetics,Q10,,
49,Monod-Wyman-Changeux (MWC) Model,Concerted allosteric transition model,Y = \frac{\alpha(1+\alpha)^{n-1} + Lc\alpha(1+c\alpha)^{n-1}}{(1+\alpha)^n + L(1+c\alpha)^n},algebraic,enzyme-kinetics,MWC,,
50,KNF Sequential Model,Koshland-Némethy-Filmer sequential binding model,Y = \frac{[S](K_1 + 2K_1K_2[S] + 3K_1K_2K_3[S]^2 + 4K_1K_2K_3K_4[S]^3)}{4(1 + K_1[S] + K_1K_2[S]^2 + K_1K_2K_3[S]^3 + K_1K_2K_3K_4[S]^4)},algebraic,enzyme-kinetics,KNF,,
51,Goldbeter-Koshland Ultrasensitivity,Zero-order ultrasensitivity in phosphorylation cycles,"[W^*] = G(v_1, v_2, J_1, J_2) = \frac{2v_1 J_2}{B + \sqrt{B^2 - 4(v_2 - v_1)v_1 J_2}}",algebraic,cell-signaling,goldbeter-koshland,,
52,MAPK Cascade Layer 1 (MAPKKK),MAPK cascade - MAPKKK activation/deactivation,\frac{d[MAPKKK^*]}{dt} = \frac{k_1 [Signal][MAPKKK]}{K_{m1} + [MAPKKK]} - \frac{k_2 [MAPKKK^*]}{K_{m2} + [MAPKKK^*]},ODE,cell-signaling,MAPK,,
53,Calcium Release from ER (IP3R),IP3 receptor-mediated calcium release,\frac{d[Ca^{2+}]_{cyt}}{dt} = v_{IP3R} m_\infty^3 h^3 ([Ca^{2+}]_{ER} - [Ca^{2+}]_{cyt}),ODE,calcium-signaling,IP3R,,
54,SERCA Pump,SERCA calcium pump flux into ER,J_{SERCA} = V_{SERCA} \frac{[Ca^{2+}]_{cyt}^2}{K_{SERCA}^2 + [Ca^{2+}]_{cyt}^2},algebraic,calcium-signaling,SERCA,,
55,Simple Gene Expression,Basic protein synthesis and degradation,\frac{d[P]}{dt} = k_s - k_d [P],ODE,gene-expression,gene-expression,,
56,Activated Transcription (Hill),Transcription activated by transcription factor,\frac{d[mRNA]}{dt} = \beta \frac{[TF]^n}{K^n + [TF]^n} - \delta [mRNA],ODE,gene-regulation,hill-activation,,
57,Repressed Transcription (Hill),Transcription repressed by repressor,\frac{d[mRNA]}{dt} = \beta \frac{K^n}{K^n + [R]^n} - \delta [mRNA],ODE,gene-regulation,hill-repression,,
58,Translation,Protein translation from mRNA,\frac{d[P]}{dt} = k_{tl} [mRNA] - \gamma [P],ODE,gene-expression,translation,,
59,Repressilator Gene 1,Repressilator mRNA dynamics - gene 1,\frac{dm_1}{dt} = -m_1 + \frac{\alpha}{1 + p_3^n} + \alpha_0,ODE,synthetic-biology,repressilator,,
60,Toggle Switch Gene 1,Genetic toggle switch - gene u dynamics,\frac{du}{dt} = \frac{\alpha_1}{1 + v^\beta} - u,ODE,synthetic-biology,toggle-switch,,
61,Toggle Switch Gene 2,Genetic toggle switch - gene v dynamics,\frac{dv}{dt} = \frac{\alpha_2}{1 + u^\gamma} - v,ODE,synthetic-biology,toggle-switch,,
62,Positive Autoregulation,Gene with positive autoregulation,\frac{d[X]}{dt} = \beta_0 + \beta \frac{[X]^n}{K^n + [X]^n} - \alpha [X],ODE,gene-regulation,positive-autoregulation,,
63,Negative Autoregulation,Gene with negative autoregulation (speeds response),\frac{d[X]}{dt} = \beta \frac{K^n}{K^n + [X]^n} - \alpha [X],ODE,gene-regulation,negative-autoregulation,,
64,Exponential Growth,Unlimited exponential population growth,\frac{dN}{dt} = rN,ODE,population-dynamics,exponential-growth,,
65,Logistic Growth,Density-dependent population growth,\frac{dN}{dt} = rN\left(1 - \frac{N}{K}\right),ODE,population-dynamics,logistic-growth,,
66,Lotka-Volterra Predator,Predator population dynamics,\frac{dP}{dt} = -dP + \beta NP,ODE,ecology,lotka-volterra,,
67,Lotka-Volterra Prey,Prey population dynamics,\frac{dN}{dt} = rN - \alpha NP,ODE,ecology,lotka-volterra,,
68,Competitive Lotka-Volterra (Species 1),Competition between two species - species 1,\frac{dN_1}{dt} = r_1 N_1 \left(1 - \frac{N_1 + \alpha_{12} N_2}{K_1}\right),ODE,ecology,competitive-lotka-volterra,,
69,Goodwin Oscillator (mRNA),Goodwin negative feedback oscillator - mRNA,\frac{dM}{dt} = \frac{v_1 K_1^n}{K_1^n + P_n^n} - v_2 \frac{M}{K_2 + M},ODE,circadian,goodwin,,
70,Van der Pol Oscillator,Classic relaxation oscillator,\frac{d^2x}{dt^2} - \mu(1-x^2)\frac{dx}{dt} + x = 0,ODE,oscillators,van-der-pol,,
71,Circadian PER Protein,Circadian clock PER protein dynamics,\frac{d[PER]}{dt} = v_s \frac{K_I^n}{K_I^n + [CN]^n} - v_m \frac{[PER]}{K_m + [PER]} - k_d [PER],ODE,circadian,circadian,,
72,Nernst Equation,Equilibrium potential for an ion,E = \frac{RT}{zF} \ln \frac{[ion]_{out}}{[ion]_{in}},algebraic,electrophysiology,nernst,,
73,Goldman-Hodgkin-Katz Voltage Equation,Resting membrane potential from multiple ions,V_m = \frac{RT}{F} \ln \frac{P_K[K^+]_o + P_{Na}[Na^+]_o + P_{Cl}[Cl^-]_i}{P_K[K^+]_i + P_{Na}[Na^+]_i + P_{Cl}[Cl^-]_o},algebraic,electrophysiology,GHK,,
74,Cable Equation,Passive signal propagation in dendrites,\lambda^2 \frac{\partial^2 V}{\partial x^2} = \tau_m \frac{\partial V}{\partial t} + V,PDE,electrophysiology,cable-theory,,
75,Fick's Law of Diffusion,Concentration changes due to diffusion,\frac{\partial C}{\partial t} = D \nabla^2 C,PDE,diffusion,fick,,
76,Reaction-Diffusion Equation,Diffusion with local reaction dynamics,\frac{\partial u}{\partial t} = D \nabla^2 u + f(u),PDE,pattern-formation,reaction-diffusion,,
77,Turing Activator,Activator in Turing pattern formation,\frac{\partial a}{\partial t} = D_a \nabla^2 a + \rho_a \frac{a^2}{h} - \mu_a a + \rho_0,PDE,pattern-formation,turing,,
78,Hodgkin-Huxley Membrane Equation,Main membrane potential equation from the Hodgkin-Huxley model describing action potential generation,C_m \frac{dV}{dt} = -g_{Na} m^3 h (V - E_{Na}) - g_K n^4 (V - E_K) - g_L (V - E_L) + I_{ext},ODE,electrophysiology,hodgkin-huxley,,
79,HH Sodium Activation (m),Sodium channel activation gating variable dynamics,\frac{dm}{dt} = \alpha_m(V)(1-m) - \beta_m(V)m,ODE,electrophysiology,hodgkin-huxley,,
80,HH Alpha_m Rate,Forward rate constant for sodium activation,\alpha_m(V) = \frac{0.1(V+40)}{1 - \exp(-(V+40)/10)},rate_equation,electrophysiology,hodgkin-huxley,,
81,HH Beta_m Rate,Backward rate constant for sodium activation,\beta_m(V) = 4 \exp(-(V+65)/18),rate_equation,electrophysiology,hodgkin-huxley,,
82,HH Sodium Inactivation (h),Sodium channel inactivation gating variable dynamics,\frac{dh}{dt} = \alpha_h(V)(1-h) - \beta_h(V)h,ODE,electrophysiology,hodgkin-huxley,,
83,HH Potassium Activation (n),Potassium channel activation gating variable dynamics,\frac{dn}{dt} = \alpha_n(V)(1-n) - \beta_n(V)n,ODE,electrophysiology,hodgkin-huxley,,
84,HH Alpha_n Rate,Forward rate constant for potassium activation,\alpha_n(V) = \frac{0.01(V+55)}{1 - \exp(-(V+55)/10)},rate_equation,electrophysiology,hodgkin-huxley,,
85,HH Beta_n Rate,Backward rate constant for potassium activation,\beta_n(V) = 0.125 \exp(-(V+65)/80),rate_equation,electrophysiology,hodgkin-huxley,,
86,Leaky Integrate-and-Fire,Simple neuron model with passive leak current and threshold-based spiking,\tau_m \frac{dV}{dt} = -(V - V_{rest}) + R_m I_{ext},ODE,computational-neuroscience,integrate-and-fire,,
87,Exponential Integrate-and-Fire,LIF with exponential spike initiation for more realistic dynamics,\tau_m \frac{dV}{dt} = -(V - V_{rest}) + \Delta_T \exp\left(\frac{V - V_T}{\Delta_T}\right) + R_m I_{ext},ODE,computational-neuroscience,exponential-integrate-fire,,
88,AdEx Adaptation Current,Adaptation current dynamics in AdEx model,\tau_w \frac{dw}{dt} = a(V - V_{rest}) - w,ODE,computational-neuroscience,adaptive-exponential,,
89,Izhikevich Membrane Equation,Izhikevich model membrane potential dynamics,\frac{dv}{dt} = 0.04v^2 + 5v + 140 - u + I,ODE,computational-neuroscience,izhikevich,,
90,Izhikevich Recovery Variable,Izhikevich model recovery variable dynamics,\frac{du}{dt} = a(bv - u),ODE,computational-neuroscience,izhikevich,,
91,FitzHugh-Nagumo Voltage,FitzHugh-Nagumo model - simplified HH capturing excitability,\frac{dv}{dt} = v - \frac{v^3}{3} - w + I_{ext},ODE,computational-neuroscience,fitzhugh-nagumo,,
92,FitzHugh-Nagumo Recovery,FitzHugh-Nagumo recovery variable,\frac{dw}{dt} = \epsilon(v + a - bw),ODE,computational-neuroscience,fitzhugh-nagumo,,
93,Morris-Lecar Membrane,Morris-Lecar model - 2D reduction of HH for barnacle muscle,C \frac{dV}{dt} = I - g_L(V-V_L) - g_{Ca}m_\infty(V)(V-V_{Ca}) - g_K w(V-V_K),ODE,electrophysiology,morris-lecar,,
94,AMPA Synaptic Current,AMPA receptor-mediated excitatory synaptic current,I_{AMPA} = g_{AMPA} s (V - E_{AMPA}),current_equation,synaptic-transmission,AMPA,,
95,AMPA Gating Dynamics,AMPA receptor gating variable dynamics,\frac{ds}{dt} = \alpha [T](1-s) - \beta s,ODE,synaptic-transmission,AMPA,,
96,NMDA Synaptic Current,NMDA receptor current with voltage-dependent Mg2+ block,I_{NMDA} = g_{NMDA} s B(V) (V - E_{NMDA}),current_equation,synaptic-transmission,NMDA,,
97,NMDA Magnesium Block,Voltage-dependent magnesium block of NMDA receptors,B(V) = \frac{1}{1 + \frac{[Mg^{2+}]}{3.57} \exp(-0.062 V)},algebraic,synaptic-transmission,NMDA,,
98,GABA-A Synaptic Current,GABA-A receptor-mediated inhibitory synaptic current,I_{GABA_A} = g_{GABA_A} s (V - E_{Cl}),current_equation,synaptic-transmission,GABA-A,,
99,GABA-B Synaptic Current,GABA-B receptor current via G-protein activation,I_{GABA_B} = g_{GABA_B} \frac{[G]^n}{[G]^n + K_d} (V - E_K),current_equation,synaptic-transmission,GABA-B,,
100,Alpha Function Synapse,Alpha function for synaptic conductance time course,g(t) = g_{max} \frac{t-t_0}{\tau} \exp\left(1 - \frac{t-t_0}{\tau}\right),algebraic,synaptic-transmission,alpha-function,,
101,Double Exponential Synapse,Bi-exponential synaptic conductance with rise and decay,g(t) = g_{max} \frac{\tau_d \tau_r}{\tau_d - \tau_r} \left( \exp\left(-\frac{t}{\tau_d}\right) - \exp\left(-\frac{t}{\tau_r}\right) \right),algebraic,synaptic-transmission,double-exponential,,
102,Pair-Based STDP,Classic spike-timing dependent plasticity rule,\Delta w = \begin{cases} A_+ \exp(-\Delta t / \tau_+) & \text{if } \Delta t > 0 \\ -A_- \exp(\Delta t / \tau_-) & \text{if } \Delta t < 0 \end{cases},plasticity_rule,synaptic-plasticity,STDP,,
103,Triplet STDP Rule,Triplet STDP capturing frequency dependence,\Delta w = r_1(t) \left( A_2^+ + A_3^+ r_2(t-\epsilon) \right) - o_1(t) \left( A_2^- + A_3^- o_2(t-\epsilon) \right),plasticity_rule,synaptic-plasticity,triplet-STDP,,
104,BCM Plasticity Rule,Bienenstock-Cooper-Munro rule with sliding threshold,\frac{dw}{dt} = \eta \phi(c) c_{pre},ODE,synaptic-plasticity,BCM,,
105,BCM Phi Function,BCM selectivity function,\phi(c) = c(c - \theta_m),algebraic,synaptic-plasticity,BCM,,
106,Oja's Learning Rule,Hebbian rule with weight normalization (PCA),\Delta w_i = \eta y (x_i - y w_i),plasticity_rule,synaptic-plasticity,Oja,,
107,Calcium-Based Plasticity,Plasticity driven by calcium concentration levels,\frac{dw}{dt} = \gamma_p \Omega([Ca^{2+}]) - \gamma_d \Omega([Ca^{2+}]) w,ODE,synaptic-plasticity,calcium-based,,
108,Wilson-Cowan Excitatory,Wilson-Cowan excitatory population rate equation,\tau_E \frac{dE}{dt} = -E + S_E(w_{EE}E - w_{EI}I + I_{ext}),ODE,neural-networks,wilson-cowan,,
109,Wilson-Cowan Inhibitory,Wilson-Cowan inhibitory population rate equation,\tau_I \frac{dI}{dt} = -I + S_I(w_{IE}E - w_{II}I),ODE,neural-networks,wilson-cowan,,
110,Neural Sigmoid Activation,Sigmoidal firing rate function,S(x) = \frac{1}{1 + \exp(-\beta(x - \theta))},activation_function,neural-networks,activation-function,,
111,Mean-Field Firing Rate,Mean-field firing rate for LIF neurons with noise,"\nu = \phi(\mu, \sigma) = \left( \tau_{ref} + \tau_m \sqrt{\pi} \int_{(V_{reset}-\mu)/\sigma}^{(V_{th}-\mu)/\sigma} e^{u^2}(1+\text{erf}(u)) du \right)^{-1}",algebraic,mean-field,mean-field,,
112,Michaelis-Menten Kinetics,Classic enzyme kinetics with substrate saturation,v = \frac{V_{max} [S]}{K_m + [S]},rate_equation,enzyme-kinetics,michaelis-menten,,
113,Michaelis-Menten Substrate Dynamics,Substrate consumption under Michaelis-Menten kinetics,\frac{d[S]}{dt} = -\frac{V_{max} [S]}{K_m + [S]},ODE,enzyme-kinetics,michaelis-menten,,
114,Lineweaver-Burk Equation,Double-reciprocal linearization of Michaelis-Menten,\frac{1}{v} = \frac{K_m}{V_{max}} \cdot \frac{1}{[S]} + \frac{1}{V_{max}},algebraic,enzyme-kinetics,lineweaver-burk,,
115,Competitive Inhibition,Enzyme kinetics with competitive inhibitor,v = \frac{V_{max} [S]}{K_m \left(1 + \frac{[I]}{K_i}\right) + [S]},rate_equation,enzyme-kinetics,competitive-inhibition,,
116,Non-competitive Inhibition,Enzyme kinetics with non-competitive inhibitor,v = \frac{V_{max} [S]}{(K_m + [S])\left(1 + \frac{[I]}{K_i}\right)},rate_equation,enzyme-kinetics,non-competitive-inhibition,,
117,Uncompetitive Inhibition,Enzyme kinetics with uncompetitive inhibitor,v = \frac{V_{max} [S]}{K_m + [S]\left(1 + \frac{[I]}{K_i}\right)},rate_equation,enzyme-kinetics,uncompetitive-inhibition,,
118,Hill Equation,Cooperative binding with Hill coefficient,v = \frac{V_{max} [S]^n}{K_{0.5}^n + [S]^n},rate_equation,enzyme-kinetics,hill,,
119,Substrate Inhibition,Enzyme kinetics with excess substrate inhibition,v = \frac{V_{max} [S]}{K_m + [S] + \frac{[S]^2}{K_{si}}},rate_equation,enzyme-kinetics,substrate-inhibition,,
120,Ordered Bi-Bi Mechanism,Two-substrate ordered sequential mechanism,v = \frac{V_{max} [A][B]}{K_{iA}K_B + K_B[A] + K_A[B] + [A][B]},rate_equation,enzyme-kinetics,ordered-bi-bi,,
121,Ping-Pong Bi-Bi Mechanism,Two-substrate ping-pong mechanism,v = \frac{V_{max} [A][B]}{K_A[B] + K_B[A] + [A][B]},rate_equation,enzyme-kinetics,ping-pong,,
122,Mass Action (Irreversible),Irreversible mass action kinetics,v = k [A]^a [B]^b,rate_equation,reaction-kinetics,mass-action,,
123,Mass Action (Reversible),Reversible mass action kinetics,v = k_f [A][B] - k_r [C][D],rate_equation,reaction-kinetics,mass-action,,
124,Arrhenius Equation,Temperature dependence of rate constants,k = A \exp\left(-\frac{E_a}{RT}\right),algebraic,reaction-kinetics,arrhenius,,
125,Q10 Temperature Coefficient,Temperature dependence using Q10 factor,k(T) = k(T_0) Q_{10}^{(T-T_0)/10},algebraic,reaction-kinetics,Q10,,
126,Monod-Wyman-Changeux (MWC) Model,Concerted allosteric transition model,Y = \frac{\alpha(1+\alpha)^{n-1} + Lc\alpha(1+c\alpha)^{n-1}}{(1+\alpha)^n + L(1+c\alpha)^n},algebraic,enzyme-kinetics,MWC,,
127,KNF Sequential Model,Koshland-Némethy-Filmer sequential binding model,Y = \frac{[S](K_1 + 2K_1K_2[S] + 3K_1K_2K_3[S]^2 + 4K_1K_2K_3K_4[S]^3)}{4(1 + K_1[S] + K_1K_2[S]^2 + K_1K_2K_3[S]^3 + K_1K_2K_3K_4[S]^4)},algebraic,enzyme-kinetics,KNF,,
128,Goldbeter-Koshland Ultrasensitivity,Zero-order ultrasensitivity in phosphorylation cycles,"[W^*] = G(v_1, v_2, J_1, J_2) = \frac{2v_1 J_2}{B + \sqrt{B^2 - 4(v_2 - v_1)v_1 J_2}}",algebraic,cell-signaling,goldbeter-koshland,,
129,MAPK Cascade Layer 1 (MAPKKK),MAPK cascade - MAPKKK activation/deactivation,\frac{d[MAPKKK^*]}{dt} = \frac{k_1 [Signal][MAPKKK]}{K_{m1} + [MAPKKK]} - \frac{k_2 [MAPKKK^*]}{K_{m2} + [MAPKKK^*]},ODE,cell-signaling,MAPK,,
130,Calcium Release from ER (IP3R),IP3 receptor-mediated calcium release,\frac{d[Ca^{2+}]_{cyt}}{dt} = v_{IP3R} m_\infty^3 h^3 ([Ca^{2+}]_{ER} - [Ca^{2+}]_{cyt}),ODE,calcium-signaling,IP3R,,
131,SERCA Pump,SERCA calcium pump flux into ER,J_{SERCA} = V_{SERCA} \frac{[Ca^{2+}]_{cyt}^2}{K_{SERCA}^2 + [Ca^{2+}]_{cyt}^2},algebraic,calcium-signaling,SERCA,,
132,Simple Gene Expression,Basic protein synthesis and degradation,\frac{d[P]}{dt} = k_s - k_d [P],ODE,gene-expression,gene-expression,,
133,Activated Transcription (Hill),Transcription activated by transcription factor,\frac{d[mRNA]}{dt} = \beta \frac{[TF]^n}{K^n + [TF]^n} - \delta [mRNA],ODE,gene-regulation,hill-activation,,
134,Repressed Transcription (Hill),Transcription repressed by repressor,\frac{d[mRNA]}{dt} = \beta \frac{K^n}{K^n + [R]^n} - \delta [mRNA],ODE,gene-regulation,hill-repression,,
135,Translation,Protein translation from mRNA,\frac{d[P]}{dt} = k_{tl} [mRNA] - \gamma [P],ODE,gene-expression,translation,,
136,Repressilator Gene 1,Repressilator mRNA dynamics - gene 1,\frac{dm_1}{dt} = -m_1 + \frac{\alpha}{1 + p_3^n} + \alpha_0,ODE,synthetic-biology,repressilator,,
137,Toggle Switch Gene 1,Genetic toggle switch - gene u dynamics,\frac{du}{dt} = \frac{\alpha_1}{1 + v^\beta} - u,ODE,synthetic-biology,toggle-switch,,
138,Toggle Switch Gene 2,Genetic toggle switch - gene v dynamics,\frac{dv}{dt} = \frac{\alpha_2}{1 + u^\gamma} - v,ODE,synthetic-biology,toggle-switch,,
